"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 20 00:51:08 IST 2022","Sat Aug 20 00:51:12 IST 2022","3594","","test_valid","","","","test_case_invalid",""
"passed","Sat Aug 20 00:51:04 IST 2022","Sat Aug 20 00:51:08 IST 2022","3453","","test_valid","","","","test_reg_invalid",""
"passed","Sat Aug 20 00:50:59 IST 2022","Sat Aug 20 00:51:04 IST 2022","5404","","test_valid","","","","test_reg",""
